Date,Open,High,Low,Close,Adj Close,Volume
2020-09-11,335.82000732421875,336.9700012207031,331.0,334.05999755859375,318.20599365234375,84680200
2020-09-14,337.489990234375,340.3800048828125,334.2200012207031,338.4599914550781,322.3971862792969,65605700
2020-09-15,341.1199951171875,342.0199890136719,338.4700012207031,340.1700134277344,324.026123046875,52920900
2020-09-16,341.510009765625,343.05999755859375,338.5199890136719,338.82000732421875,322.7401123046875,82096000
2020-09-17,333.55999755859375,337.70001220703125,332.989990234375,335.8399963378906,319.90155029296875,91523300
2020-09-18,335.3699951171875,335.489990234375,327.9700012207031,330.6499938964844,316.2186279296875,105877900
2020-09-21,325.70001220703125,327.1300048828125,321.7300109863281,326.9700012207031,312.6992492675781,99450800
2020-09-22,328.57000732421875,330.8999938964844,325.8599853515625,330.29998779296875,315.8839111328125,63612100
2020-09-23,330.8999938964844,331.20001220703125,322.1000061035156,322.6400146484375,308.5581970214844,93112200
2020-09-24,321.2200012207031,326.79998779296875,319.79998779296875,323.5,309.38067626953125,76681300
2020-09-25,322.5799865722656,329.5799865722656,321.6400146484375,328.7300109863281,314.3824157714844,71069400
2020-09-28,333.2200012207031,334.9599914550781,332.1499938964844,334.19000244140625,319.6041564941406,64584600
2020-09-29,333.9700012207031,334.7699890136719,331.6199951171875,332.3699951171875,317.86358642578125,51304000
2020-09-30,333.0899963378906,338.2900085449219,332.8800048828125,334.8900146484375,320.27362060546875,104081100
2020-10-01,337.69000244140625,338.739990234375,335.010009765625,337.0400085449219,322.3297119140625,88698700
2020-10-02,331.70001220703125,337.010009765625,331.19000244140625,333.8399963378906,319.2694091796875,89431100
2020-10-05,336.05999755859375,339.9599914550781,336.010009765625,339.760009765625,324.93096923828125,45713100
2020-10-06,339.9100036621094,342.1700134277344,334.3800048828125,334.92999267578125,320.3117980957031,90128900
2020-10-07,338.1199951171875,341.6300048828125,338.0899963378906,340.760009765625,325.8873596191406,56999600
2020-10-08,342.8500061035156,343.8500061035156,341.8599853515625,343.7799987792969,328.7755126953125,45242500
2020-10-09,345.55999755859375,347.3500061035156,344.8900146484375,346.8500061035156,331.7115783691406,59528600
2020-10-12,349.5899963378906,354.0199890136719,349.05999755859375,352.42999267578125,337.04803466796875,80388500
2020-10-13,352.2799987792969,352.4700012207031,349.0899963378906,350.1300048828125,334.8483581542969,73255500
2020-10-14,350.75,351.92999267578125,347.1400146484375,347.92999267578125,332.7444152832031,57727900
2020-10-15,343.7099914550781,348.0199890136719,343.1300048828125,347.5,332.33319091796875,60357700
2020-10-16,348.9599914550781,350.75,347.1000061035156,347.2900085449219,332.1323547363281,89501900
2020-10-19,348.6499938964844,349.3299865722656,341.0400085449219,342.010009765625,327.0827941894531,68425600
2020-10-20,343.4599914550781,346.8800048828125,342.6400146484375,343.3800048828125,328.3929748535156,60051900
